Club,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
Western Sydney Wanderers,63.359722017249375,62.081114875101065,61.488043076476714,65.66524852103807,57.52129835230436,66.91802011371863,61.615759085082644,51.556924777110254,61.004264097427374,67.0309093777181,82.17099510074259,82.3347666925033,79.03276611248263,64.70583887360685,80.52535298539601,64.47468027860087,80.82598123102774,77.65785925958522,75.33914596022578,61.105140873770765,69.45283112107464,62.120189013111776,63.71504341543827,62.98878899730098,57.76371126050823,64.56258360536005,59.23809050040979,63.354070260215,61.00765763328016
Kalmar FF,64.50141772746724,61.346592602131004,62.491357156447435,66.73672593920209,62.55831504708995,66.36621926885233,64.39213694156537,61.76401960065214,64.02496858204,68.31018893687457,77.47686554146236,79.0269737425729,77.99020155020428,68.97632839890441,77.3893742067838,67.67480874472324,75.72684347365212,74.11767445986894,75.26604726469887,63.44855723258117,70.40067890756704,63.23116804054452,64.1635133245656,66.51209251497086,63.71950968650538,68.44922908278828,57.45930732723907,60.66189171800815,57.48842622207069
1. FC Union Berlin,66.67968547779746,67.34219965776498,70.50145738907824,70.86989218562064,63.92406075115116,71.57598669325606,67.3714630059033,61.98689953968031,65.89715854595183,72.13400447991678,80.44853816303717,81.81336006660383,80.1515913314512,69.47414250094123,78.64757496616485,72.58284592847994,76.00310922414089,79.00199316220645,82.13130476202946,66.16239046749497,76.04666959362297,68.54821057044693,68.89081985587472,65.98250937430043,59.40737092338105,70.44181593395534,67.7109939417503,70.36005948788343,67.7067509487748
Independiente Medellín,66.48633020654665,65.86646243589588,65.0195070298992,69.00302272747544,58.84790781954863,67.04569041109593,59.704830420771344,55.124628662737834,64.32984302316017,66.96463850400427,79.19694569348205,77.2234721891478,77.63546683424444,66.50582170474968,75.59385726620103,66.50682976999803,75.51557573556288,83.91576145709158,76.78105738097533,61.46048108628264,68.38197258567044,64.07051628662312,67.2893516559756,66.68564714798917,64.59327877779855,63.91478420677049,61.7956230057021,66.17594024089094,64.69682608471136
Fortuna Sittard,66.84037975473511,64.78310034502482,63.96941437562208,69.0951833619421,60.028256117986466,69.51102205160997,63.35661338487746,58.01687989408749,67.20995197451349,72.27679373178044,78.59519098984816,78.65253433197317,76.73984634476759,65.63388630430033,73.3140279915669,70.50966506417495,73.69282688322761,73.61512104742629,74.89310838505976,65.72892215087874,69.00004438840915,62.570887177768114,63.8957150933839,65.33047904515439,64.1190225413507,63.521515245563755,66.39892513141712,65.64112889738706,63.45447219981559
FC Groningen,64.34897872774616,62.604824239558695,65.5564907551065,68.13793516744845,58.39362259548036,70.00521798985089,61.57107803414461,55.901724459757524,63.09407979983068,69.32481721122184,76.95459972720052,76.97553206433622,78.46659583478295,66.40371492046077,76.31468207425151,69.52293598867749,79.51734047574169,72.8282358000547,75.55196761618808,63.16577719986936,70.60046402724223,66.2858839286776,63.813865228625495,64.81275381025775,61.37055873509422,66.96957615090098,62.969226888018,64.51739136749566,63.222291044616746
Lech Poznań,64.26223227394567,64.74039354971235,64.98570615061823,67.84454924061282,55.267405556516415,67.56202318174365,62.77257305863717,60.75942001379848,62.89041689587525,69.15706079719578,85.98232338872059,84.49855742765932,75.04705815244607,67.61935790516227,76.67751071522342,71.01564628095149,76.26460086283839,79.31840812932457,77.34147133284885,62.54248649274225,69.30281204808381,66.06280183729626,66.29064988788221,67.45179295567361,65.27966731696105,66.79942342461744,60.102532735540436,67.29868900776731,64.21578395922117
Djurg<U+00E5>rdens IF,61.07847020917808,60.43496864487371,64.36850342874774,65.74417414827799,56.146601898070664,67.9211680749702,63.139441773685654,57.86430168772272,62.77705924779069,67.71254329231152,81.21909524349597,79.7401994820623,78.82726583441341,63.86727040735459,79.3453875181158,63.173772543030665,77.6132669745577,76.51751342965937,79.02095463496687,59.705897470071605,75.77794829646857,62.18950043007121,60.65714362633242,65.11935424509565,58.2282355275459,66.74114522499046,66.46636434458783,65.00257028090249,62.65476386356141
SK Brann,66.21514116134068,63.102758231188595,67.46182889265864,66.40134440064418,62.602878875559924,66.69168264105998,61.38989349324253,57.275703386918664,63.87024104992142,67.64110468734297,80.59428916169274,81.09994452887996,79.03831623041378,66.48759285165848,76.02112104618311,70.88396549076579,78.90689529580392,77.77501903139242,82.29923571120807,61.74951581154229,73.3729770901219,64.82039328551288,66.72917941722692,65.8107226593472,61.121017423445416,70.27981196443739,62.56124945088694,65.19024883338597,62.424879888924394
Ulsan Hyundai FC,66.75738429039775,63.93487086989727,67.94371482292891,69.68928122732275,58.97814541787311,68.52048015145341,62.111928389755356,55.64979567855154,68.0628065187892,69.4187246062225,80.50857886457631,83.5346677238946,76.95104810425924,69.32814860202386,78.36233883755739,67.7145549529714,75.35147805720304,77.08333790478206,80.1212720498626,63.271110941958945,71.0058355276608,65.68100136766401,70.38556230570022,68.39215596395557,59.98684154417375,66.60691211848562,59.48274712768928,65.48811224897626,64.28817101650563
